path	size_bytes	compressed_bytes
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/fontdata-extra.js	6145	1649
assets/MathJax/jax/output/HTML-CSS/fonts/Asana-Math/fontdata.js	11623	3449
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Alphabets/Regular/Main.js	1530	838
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Arrows/Regular/Main.js	1939	904
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/DoubleStruck/Regular/Main.js	3093	1356
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Fraktur/Regular/Main.js	4026	1869
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Latin/Regular/Main.js	7742	2525
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Main/Regular/Main.js	13817	4637
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Marks/Regular/Main.js	3044	1386
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Misc/Regular/Main.js	1351	763
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Monospace/Regular/Main.js	2896	1124
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/NonUnicode/Regular/Main.js	38996	12371
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Normal/Regular/Main.js	10435	3857
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Operators/Regular/Main.js	3353	1342
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/SansSerif/Regular/Main.js	10446	3574
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Script/Regular/Main.js	3977	1802
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Shapes/Regular/Main.js	2173	1017
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Size1/Regular/Main.js	5926	1917
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Size2/Regular/Main.js	2387	1081
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Size3/Regular/Main.js	2396	1078
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Size4/Regular/Main.js	2437	1079
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Size5/Regular/Main.js	2450	1087
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Size6/Regular/Main.js	10899	2799
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Symbols/Regular/Main.js	2528	1108
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/Variants/Regular/Main.js	1329	685
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/fontdata-extra.js	11630	2683
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Pagella/fontdata.js	12991	3680
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Alphabets/Regular/Main.js	1524	829
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Arrows/Regular/Main.js	1930	896
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/DoubleStruck/Regular/Main.js	3087	1387
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Fraktur/Regular/Main.js	4017	1733
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Latin/Regular/Main.js	7718	2463
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Main/Regular/Main.js	13764	4596
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Marks/Regular/Main.js	3042	1381
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Misc/Regular/Main.js	1346	758
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Monospace/Regular/Main.js	2922	1089
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/NonUnicode/Regular/Main.js	39372	11893
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Normal/Regular/Main.js	10442	3693
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Operators/Regular/Main.js	3344	1323
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/SansSerif/Regular/Main.js	10401	3670
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Script/Regular/Main.js	4036	1706
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Shapes/Regular/Main.js	2174	1005
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Size1/Regular/Main.js	5887	1924
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Size2/Regular/Main.js	2380	1077
assets/MathJax/jax/output/HTML-CSS/fonts/Gyre-Termes/Size3/Regular/Main.js	2389	1075
